nachname,partei,start_year,group,vorname,total_amount
Pätzold,CDU,Ja,cdu,Dr. rer. pol. Martin,1
Pau,Die Linke,Nein,linke,Petra,1
Paus,Bündnis 90/Die Grünen,Nein,gruene,Lisa,1
Petzold,CDU,Nein,cdu,Hans Ulrich,1
Petzold,Die Linke,Nein,linke,Harald Alfred,1
Pfeiffer,CDU,Ja,cdu,Dr. Joachim,1
Pfeiffer,CDU,Nein,cdu,Sibylle,1
Pflugradt,SPD,Nein,spd,Jeannine,1
Pilger,SPD,Nein,spd,Detlev,1
Pitterle,Die Linke,Nein,linke,Richard,1
Pofalla,CDU,Nein,cdu,Ronald,1
Pols,CDU,Nein,cdu,Eckhard,1
Poschmann,SPD,Nein,spd,Sabine,1
Poß,SPD,Nein,spd,Joachim,1
Post,SPD,Nein,spd,Achim,1
Post,SPD,Nein,spd,Florian,1
Pothmer,Bündnis 90/Die Grünen,Nein,gruene,Brigitte,1
Priesmeier,SPD,Ja,spd,Dr. Wilhelm,1
Pronold,SPD,Nein,spd,Florian,1
Raabe,SPD,Ja,spd,Dr. Sascha,1
Raatz,SPD,Ja,spd,Dr. Simone,1
Rabanus,SPD,Nein,spd,Martin,1
Rachel,CDU,Nein,cdu,Thomas,1
Radomski,CDU,Nein,cdu,Kerstin,1
Radwan,CDU,Nein,cdu,Alexander,1
Rainer,CDU,Nein,cdu,Alois,1
Ramsauer,CDU,Ja,cdu,Dr. Peter,1
Rawert,SPD,Nein,spd,Mechthild,1
Rebmann,SPD,Nein,spd,Stefan,1
Rehberg,CDU,Nein,cdu,Eckhardt,1
Reiche,CDU,Nein,cdu,Katherina Birgitt,1
Reichenbach,SPD,Nein,spd,Gerold,1
Reimann,SPD,Ja,spd,Dr. Carola,1
Renner,Die Linke,Nein,linke,Martina,1
Riebsamen,CDU,Nein,cdu,Lothar,1
Rief,CDU,Nein,cdu,Josef,1
Riesenhuber,CDU,Ja,cdu,Prof. Dr. Heinz,1
Rimkus,SPD,Nein,spd,Andreas,1
Rix,SPD,Nein,spd,Sönke,1
Rohde,SPD,Nein,spd,Dennis,1
Röring,CDU,Nein,cdu,Johannes,1
Rosemann,SPD,Ja,spd,Dr. Martin,1
Röspel,SPD,Nein,spd,René,1
Rossmann,SPD,Ja,spd,Dr. Ernst Dieter,1
Rößner,Bündnis 90/Die Grünen,Nein,gruene,Tabea,1
Roth,Bündnis 90/Die Grünen,Nein,gruene,Claudia,1
Roth,SPD,Nein,spd,Michael,1
Röttgen,CDU,Ja,cdu,Dr. Norbert,1
Rüddel,CDU,Nein,cdu,Erwin,1
Rüffer,Bündnis 90/Die Grünen,Nein,gruene,Corinna,1
Rupprecht,CDU,Nein,cdu,Albert,1
Rüthrich,SPD,Nein,spd,Susann,1
Rützel,SPD,Nein,spd,Bernd,1
Saathoff,SPD,Nein,spd,Johann,1
Sarrazin,Bündnis 90/Die Grünen,Nein,gruene,Manuel,1
Sawade,SPD,Nein,spd,Annette,1
Schabedoth,SPD,Ja,spd,Dr. Hans-Joachim,1
Schäfer,CDU,Nein,cdu,Anita,1
Schäfer,SPD,Nein,spd,Axel,1
Scharfenberg,Bündnis 90/Die Grünen,Nein,gruene,Elisabeth,1
Schäuble,CDU,Ja,cdu,Dr. Wolfgang,1
Schauws,Bündnis 90/Die Grünen,Nein,gruene,Ulle,1
Schavan,CDU,Nein,phdlost,Annette,1
Scheer,SPD,Ja,spd,Dr. Nina,1
Scheuer,CDU,Ja,cdu,Dr. Andreas,1
Schick,Bündnis 90/Die Grünen,Ja,gruene,Dr. Gerhard,1
Schieder,SPD,Nein,spd,Marianne,1
Schiefner,SPD,Nein,spd,Udo,1
Schiewerling,CDU,Nein,cdu,Karl,1
Schimke,CDU,Nein,cdu,Neinna,1
Schindler,CDU,Nein,cdu,Norbert,1
Schipanski,CDU,Nein,cdu,Tankred,1
Schlecht,Die Linke,Nein,linke,Michael,1
Schlegel,SPD,Ja,spd,Dr. Dorothee,1
Schmelzle,CDU,Nein,cdu,Heiko,1
Schmidt,CDU,Nein,cdu,Christian,1
Schmidt,SPD,Nein,spd,Dagmar,1
Schmidt,Bündnis 90/Die Grünen,Ja,gruene,Dr. Frithjof,1
Schmidt,CDU,Nein,cdu,Gabriele,1
Schmidt,SPD,Nein,spd,Matthias,1
Schmidt,SPD,Nein,spd,Ulla,1
Schneider,SPD,Nein,spd,Carsten,1
Schnieder,CDU,Nein,cdu,Patrick,1
Schockenhoff,CDU,Ja,cdu,Dr. Andreas,1
Schön,CDU,Nein,cdu,Nadine,1
Schröder,CDU,Ja,cdu,Dr. Kristina,1
Schröder,CDU,Ja,cdu,Dr. Ole,1
Schulte,SPD,Nein,spd,Ursula,1
Schulte-Drüggelte,CDU,Nein,cdu,Bernhard,1
Schulz,SPD,Nein,spd,Swen,1
Schulz-Asche,Bündnis 90/Die Grünen,Nein,gruene,Kordula,1
Schulze,CDU,Ja,cdu,Dr. Klaus-Peter,1
Schummer,CDU,Nein,cdu,Uwe,1
Schurer,SPD,Nein,spd,Ewald,1
Schuster,CDU,Nein,cdu,Armin,1
Schwabe,SPD,Nein,spd,Frank,1
Schwartze,SPD,Nein,spd,Stefan,1
Schwarz,SPD,Nein,spd,Andreas,1
Schwarzelühr-Sutter,SPD,Nein,spd,Rita,1
Schwarzer,CDU,Nein,cdu,Christina,1
Seif,CDU,Nein,cdu,Detlef,1
Selle,CDU,Nein,cdu,Johannes,1
Sendker,CDU,Nein,cdu,Reinhold,1
Sensburg,CDU,Ja,cdu,Prof. Dr. Patrick,1
Siebert,CDU,Nein,cdu,Bernd,1
Sieling,SPD,Ja,spd,Dr. Carsten,1
Silberhorn,CDU,Nein,cdu,Thomas,1
Singhammer,CDU,Nein,cdu,Johannes,1
Sitte,Die Linke,Ja,linke,Dr. Petra,1
Sorge,CDU,Nein,cdu,Tino,1
Spahn,CDU,Nein,cdu,Jens,1
Spiering,SPD,Nein,spd,Rainer,1
Spinrath,SPD,Nein,spd,Norbert,1
Stadler,SPD,Nein,spd,SvenNein,1
Stamm-Fibich,SPD,Nein,spd,Martina,1
Stauche,CDU,Nein,cdu,Carola,1
