nachname,partei,start_year,group,vorname,total_amount
Nouripour,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Omid,1
Nüßlein,CDU/CSU,Ja,cdu,Dr. Georg,1
Obermeier,CDU/CSU,Nein,cdu,Franz,1
Oppermann,SPD,Nein,spd,Thomas,1
Ortel,SPD,Nein,spd,Holger,1
Ostendorff,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Friedrich,1
Oswald,CDU/CSU,Nein,cdu,Eduard,1
Ott,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Hermann E.,1
Otte,CDU/CSU,Nein,cdu,Henning,1
Otto (Frankfurt),FDP,Nein,fdp,Hans-Joachim,1
Özoğuz,SPD,Nein,spd,Aydan,1
Pau,DIE LINKE,Nein,linke,Petra,1
Paul,CDU/CSU,Ja,cdu,Dr. Michael,1
Paula,SPD,Nein,spd,Heinz,1
Paus,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Lisa,1
Pawelski,CDU/CSU,Nein,cdu,Rita,1
Petermann,DIE LINKE,Nein,linke,Jens,1
Petzold,CDU/CSU,Nein,cdu,Ulrich,1
Pfeiffer,CDU/CSU,Ja,cdu,Dr. Joachim,1
Pfeiffer,CDU/CSU,Nein,cdu,Sibylle,1
Pflug,SPD,Nein,spd,Johannes,1
Philipp,CDU/CSU,Nein,cdu,Beatrix,1
Pieper,FDP,Nein,fdp,Cornelia,1
Piltz,FDP,Nein,fdp,Gisela,1
Pitterle,DIE LINKE,Nein,linke,Richard,1
Ploetz,DIE LINKE,Nein,linke,Yvonne,1
Pofalla,CDU/CSU,Nein,cdu,Ronald,1
Poland,CDU/CSU,Nein,cdu,Christoph,1
Polenz,CDU/CSU,Nein,cdu,Ruprecht,1
Polheim,FDP,Nein,fdp,Jörg von,1
Pols,CDU/CSU,Nein,cdu,Eckhard,1
Poß,SPD,Nein,spd,Joachim,1
Pothmer,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Brigitte,1
Priesmeier,SPD,Ja,spd,Dr. Wilhelm,1
Pronold,SPD,Nein,spd,Florian,1
Raabe,SPD,Ja,spd,Dr. Sascha,1
Rachel,CDU/CSU,Nein,cdu,Thomas,1
Ramsauer,CDU/CSU,Ja,cdu,Dr. Peter,1
Ratjen-Damerau,FDP,Ja,fdp,Dr. Christiane,1
Rawert,SPD,Nein,spd,Mechthild,1
Rebmann,SPD,Nein,spd,Stefan,1
Rehberg,CDU/CSU,Nein,cdu,Eckhardt,1
Reiche (Potsdam),CDU/CSU,Nein,cdu,Katherina,1
Reichenbach,SPD,Nein,spd,Gerold,1
Reimann,SPD,Ja,spd,Dr. Carola,1
Reinemund,FDP,Ja,fdp,Dr. Birgit,1
Remmers,DIE LINKE,Nein,linke,Ingrid Lieselotte,1
Riebsamen,CDU/CSU,Nein,cdu,Lothar,1
Rief,CDU/CSU,Nein,cdu,Josef,1
Riegert,CDU/CSU,Nein,cdu,Klaus,1
Riesenhuber,CDU/CSU,Ja,cdu,Dr. Heinz,1
Rix,SPD,Nein,spd,Sönke,1
Röhlinger,FDP,Ja,fdp,Dr. Peter,1
Röring,CDU/CSU,Nein,cdu,Johannes,1
Röspel,SPD,Nein,spd,René,1
Rossmann,SPD,Ja,spd,Dr. Ernst Dieter,1
Rößner,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Tabea,1
Roth (Augsburg),BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Claudia,1
Roth (Esslingen),SPD,Nein,spd,Karin,1
Roth (Heringen),SPD,Nein,spd,Michael,1
Röttgen,CDU/CSU,Ja,cdu,Dr. Norbert,1
Ruck,CDU/CSU,Ja,cdu,Dr. Christian,1
Rüddel,CDU/CSU,Nein,cdu,Erwin,1
Ruppert,FDP,Ja,fdp,Dr. Stefan,1
Rupprecht (Weiden),CDU/CSU,Nein,cdu,Albert,1
Rupprecht (Tuchenbach),SPD,Nein,spd,Marlene,1
Sager,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Krista,1
Sänger,FDP,Nein,fdp,Björn,1
Sarrazin,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Manuel,1
Sawade,SPD,Nein,spd,Annette,1
Schaaf,SPD,Nein,spd,Anton,1
Schäfer (Saalstadt),CDU/CSU,Nein,cdu,Anita,1
Schäfer (Bochum),SPD,Nein,spd,Axel,1
Schäfer (Köln),DIE LINKE,Nein,linke,Paul,1
Schäffler,FDP,Nein,fdp,Frank,1
Scharfenberg,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Elisabeth,1
Schäuble,CDU/CSU,Ja,cdu,Dr. Wolfgang,1
Schavan,CDU/CSU,Nein,cdu,Prof. Dr. Annette,1
Scheelen,SPD,Nein,spd,Bernd,1
Scheuer,CDU/CSU,Ja,cdu,Dr. Andreas,1
Schick,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Gerhard,1
Schieder,SPD,Nein,spd,Marianne,1
Schieder,SPD,Nein,spd,Werner,1
Schiewerling,CDU/CSU,Nein,cdu,Karl,1
Schindler,CDU/CSU,Nein,cdu,Norbert,1
Schipanski,CDU/CSU,Nein,cdu,Tankred,1
Schirmbeck,CDU/CSU,Nein,cdu,Georg,1
Schlecht,DIE LINKE,Nein,linke,Michael,1
Schmidt (Fürth),CDU/CSU,Nein,cdu,Christian,1
Schmidt,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Frithjof,1
Schmidt (Eisleben),SPD,Nein,spd,Silvia,1
Schmidt (Aachen),SPD,Nein,spd,Ulla,1
Schneider (Erfurt),SPD,Nein,spd,Carsten,1
Schneider,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Ulrich,1
Schnieder,CDU/CSU,Nein,cdu,Patrick,1
Schnurr,FDP,Nein,fdp,Christoph,1
Schockenhoff,CDU/CSU,Ja,cdu,Dr. Andreas,1
Schön,CDU/CSU,Nein,cdu,Nadine,1
Schreiner,SPD,Nein,spd,Ottmar,1
Schröder (Wiesbaden),CDU/CSU,Ja,cdu,Dr. Kristina,1
Schröder,CDU/CSU,Ja,cdu,Dr. Ole,1
Schulte-Drüggelte,CDU/CSU,Nein,cdu,Bernhard,1
Schulz,FDP,Nein,fdp,Jimmy,1
Schulz (Spandau),SPD,Nein,spd,Swen,1
Schummer,CDU/CSU,Nein,cdu,Uwe,1
Schurer,SPD,Nein,spd,Ewald,1
Schuster,CDU/CSU,Nein,cdu,Armin,1
Schuster,FDP,Nein,fdp,Marina,1
Schwabe,SPD,Nein,spd,Frank,1
Schwanholz,SPD,Ja,spd,Dr. Martin,1
Schwanitz,SPD,Nein,spd,Rolf,1
Schwartze,SPD,Nein,spd,Stefan,1
Schwarzelühr-Sutter,SPD,Nein,spd,Rita,1
Schweickert,FDP,Ja,fdp,Dr. Erik,1
Seif,CDU/CSU,Nein,cdu,Detlef,1
Seifert,DIE LINKE,Ja,linke,Dr. Ilja,1
Selle,CDU/CSU,Nein,cdu,Johannes,1
Sendker,CDU/CSU,Nein,cdu,Reinhold,1
Senger-Schäfer,DIE LINKE,Nein,linke,Kathrin,1
Sensburg,CDU/CSU,Ja,cdu,Dr. Patrick,1
Sharma,DIE LINKE,Nein,linke,Raju,1
Siebert,CDU/CSU,Nein,cdu,Bernd,1
Sieling,SPD,Ja,spd,Dr. Carsten,1
Silberhorn,CDU/CSU,Nein,cdu,Thomas,1
Simmling,FDP,Nein,fdp,Werner,1
Singhammer,CDU/CSU,Nein,cdu,Johannes,1
Sitte,DIE LINKE,Ja,linke,Dr. Petra,1
Skudelny,FDP,Nein,fdp,Judith,1
Solms,FDP,Ja,fdp,Dr. Hermann Otto,1
Spahn,CDU/CSU,Nein,cdu,Jens,1
Spatz,FDP,Nein,fdp,Joachim,1
Stadler,FDP,Ja,fdp,Dr. Max,1
Staffeldt,FDP,Nein,fdp,Torsten,1
Stauche,CDU/CSU,Nein,cdu,Carola,1
Steffel,CDU/CSU,Ja,cdu,Dr. Frank,1
Steffen,SPD,Nein,spd,Sonja Amalie,1
Steinbach,CDU/CSU,Nein,cdu,Erika,1
Steinbrück,SPD,Nein,spd,Peer,1
Steiner,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Dorothea,1
Steinke,DIE LINKE,Nein,linke,Kersten,1
Steinmeier,SPD,Ja,spd,Dr. Frank-Walter,1
Stetten,CDU/CSU,Nein,cdu,Christian Freiherr von,1
Stier,CDU/CSU,Nein,cdu,Dieter,1
Stinner,FDP,Ja,fdp,Dr. Rainer,1
Storjohann,CDU/CSU,Nein,cdu,Gero,1
Stracke,CDU/CSU,Nein,cdu,Stephan,1
Strässer,SPD,Nein,spd,Christoph,1
Straubinger,CDU/CSU,Nein,cdu,Max,1
Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Wolfgang,1
Strenz,CDU/CSU,Nein,cdu,Karin,1
Ströbele,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Hans-Christian,1
Strobl (Heilbronn),CDU/CSU,Nein,cdu,Thomas,1
Strothmann,CDU/CSU,Nein,cdu,Lena,1
Stüber,DIE LINKE,Nein,linke,Sabine Ursula,1
Stübgen,CDU/CSU,Nein,cdu,Michael,1
Süßmair,DIE LINKE,Nein,linke,Alexander,1
Tack,SPD,Nein,spd,Kerstin,1
Tackmann,DIE LINKE,Ja,linke,Dr. Kirsten,1
Tauber,CDU/CSU,Ja,cdu,Dr. Peter,1
Tempel,DIE LINKE,Nein,linke,Frank,1
Terpe,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Harald,1
Thierse,SPD,Ja,spd,Dr. h. c. Wolfgang,1
Thomae,FDP,Nein,fdp,Stephan,1
Thönnes,SPD,Nein,spd,Franz,1
Tiefensee,SPD,Nein,spd,Wolfgang,1
Tillmann,CDU/CSU,Nein,cdu,Antje,1
Todtenhausen,FDP,Nein,fdp,Manfred,1
Toncar,FDP,Nein,fdp,Florian,1
Tören,FDP,Nein,fdp,Serkan,1
Tressel,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Markus,1
Trittin,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Jürgen,1
Troost,DIE LINKE,Ja,linke,Dr. Axel,1
Uhl,CDU/CSU,Ja,cdu,Dr. Hans-Peter,1
Ulrich,DIE LINKE,Nein,linke,Alexander,1
Vaatz,CDU/CSU,Nein,cdu,Arnold,1
Veit,SPD,Nein,spd,Rüdiger,1
Vogel,FDP,Nein,fdp,Johannes,1
Vogel,CDU/CSU,Nein,cdu,Volkmar,1
Vogelsang,CDU/CSU,Nein,cdu,Stefanie,1
Vogler,DIE LINKE,Nein,linke,Kathrin,1
Vogt,SPD,Nein,spd,Ute,1
Volk,FDP,Ja,fdp,Dr. Daniel,1
Volkmer,SPD,Ja,spd,Dr. Marlies,1
Voß,DIE LINKE,Nein,linke,Johanna,1
Voßhoff,CDU/CSU,Nein,cdu,Andrea Astrid,1
Wadephul,CDU/CSU,Ja,cdu,Dr. Johann,1
Wagenknecht,DIE LINKE,Nein,linke,Sahra,1
Wagner (Schleswig),BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Arfst,1
Wagner,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Daniela,1
Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Beate,1
Wanderwitz,CDU/CSU,Nein,cdu,Marco,1
Wawzyniak,DIE LINKE,Nein,linke,Halina,1
Wegner,CDU/CSU,Nein,cdu,Kai,1
Weinberg,DIE LINKE,Nein,linke,Harald,1
Weinberg,CDU/CSU,Nein,cdu,Marcus,1
Weiß (Emmendingen),CDU/CSU,Nein,cdu,Peter,1
Weiss,CDU/CSU,Nein,cdu,Sabine,1
Wellenreuther,CDU/CSU,Nein,cdu,Ingo,1
Wellmann,CDU/CSU,Nein,cdu,Karl-Georg,1
Werner,DIE LINKE,Nein,linke,Katrin,1
Westerwelle,FDP,Ja,fdp,Dr. Guido,1
Wichtel,CDU/CSU,Nein,cdu,Heinz Peter,1
Wicklein,SPD,Nein,spd,Andrea,1
Widmann-Mauz,CDU/CSU,Nein,cdu,Annette,1
Wieczorek-Zeul,SPD,Nein,spd,Heidemarie,1
Wiefelspütz,SPD,Ja,spd,Dr. Dieter,1
Wieland,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Wolfgang,1
Willsch,CDU/CSU,Nein,cdu,Klaus-Peter,1
Wilms,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Valerie,1
Winkelmeier-Becker,CDU/CSU,Nein,cdu,Elisabeth,1
Winkler,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Josef Philip,1
Winterstein,FDP,Ja,fdp,Dr. Claudia,1
Wissing,FDP,Ja,fdp,Dr. Volker,1
Wöhrl,CDU/CSU,Nein,cdu,Dagmar G.,1
Wolff (Rems-Murr),FDP,Nein,fdp,Hartfrid,1
Wolff (Wolmirstedt),SPD,Nein,spd,Waltraud,1
Wunderlich,DIE LINKE,Nein,linke,Jörn,1
Zapf,SPD,Nein,spd,Uta,1
Ziegler,SPD,Nein,spd,Dagmar,1
Zimmer,CDU/CSU,Ja,cdu,Dr. Matthias,1
Zimmermann,DIE LINKE,Nein,linke,Sabine,1
Zöller,CDU/CSU,Nein,cdu,Wolfgang,1
Zöllmer,SPD,Nein,spd,Manfred Helmut,1
Zylajew,CDU/CSU,Nein,cdu,Willi,1
Zypries,SPD,Nein,spd,Brigitte,1
